157,"Game Cartridges/Accessories","Nintendo Game",
158,"Game Cartridges/Accessories","Sega Genesis Game",
159,"Game Cartridges/Accessories","Sega Saturn Game",
160,"Game Cartridges/Accessories","Dreamcast Game",
161,"Game Cartridges/Accessories","Gameboy Game",
162,"Game Cartridges/Accessories","Controller",
163,"Game Cartridges/Accessories","Adapter",
164,"Game Cartridges/Accessories","Sony Playstation Game",
165,"Game Cartridges/Accessories","Super Nintendo Game",
166,"Game Cartridges/Accessories","Memory Card",
167,"Game Cartridges/Accessories","Sony Playstation 2 Game",
168,"Game Cartridges/Accessories","XBox Game",
169,"Game Cartridges/Accessories","Accessories",
170,"Game Cartridges/Accessories","Nintendo GameCube Game",
171,"Game Systems","Cartridge",
172,"Game Systems","System",
173,"Game Systems","--- Other ---",
174,"Game Systems","Nintendo 64",
175,"Game Systems","Sony Playstation",
176,"Game Systems","Sega Saturn",
177,"Game Systems","Sega Genesis",
178,"Game Systems","Gameboy",
179,"Game Systems","Nintendo",
180,"Game Systems","Super Nintendo",
181,"Game Systems","Dreamcast",
182,"Game Systems","Sega Game Gear",
183,"Game Systems","XBox",
184,"Game Systems","Nintendo GameCube",
185,"Game Systems","Gameboy Advance",
186,"Game Systems","Sony Playstation 2",
187,"Golf Equipment","Golf Bag",
188,"Golf Equipment","Golf Cart",
189,"Golf Equipment","Drivers",
190,"Golf Equipment","Golfset",
191,"Golf Equipment","Irons",
192,"Golf Equipment","Putter",
193,"Golf Equipment","--- Other ---",
194,"Golf Equipment","Sand Wedge",
195,"Jewelery","Band",
196,"Jewelery","Bracelet",
197,"Jewelery","Brooch",
198,"Jewelery","Cufflinks",
199,"Jewelery","Earrings",
200,"Jewelery","Necklace",
201,"Jewelery","Pendant / Charm",
202,"Jewelery","Watch-Pocket",
203,"Jewelery","Ring",
204,"Jewelery","Ringset",
205,"Jewelery","Watch",
206,"Jewelery","--- Other ---",
207,"Jewelery","Locket",
208,"Jewelery","Anklet",
209,"Jewelery","Chain",
210,"Jewelery","Costume Jewellery",
211,"Jewelery","Gemstone",
212,"Jewelery","Scrap Gold",
213,"Jewelery","Scrap Silver",
214,"Jewelery","Tiara",
